2021-01-10 01:15:30 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h28m24s8ms351µs800ns).
2021-01-10 11:02:56 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=8h36m1s516ms367µs700ns).
2021-01-10 13:25:01 [main] INFO  com.example.demo.SareetaApplication - Starting SareetaApplication on DESKTOP-HU7SCJV with PID 396 (D:\UdacityProjects\eCommerce-Application\target\classes started by a4avi in D:\UdacityProjects\eCommerce-Application)
2021-01-10 13:25:01 [main] INFO  com.example.demo.SareetaApplication - No active profile set, falling back to default profiles: default
2021-01-10 13:25:03 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-01-10 13:25:03 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 90ms. Found 4 repository interfaces.
2021-01-10 13:25:04 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7936bab1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-10 13:25:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-01-10 13:25:04 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-01-10 13:25:04 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2021-01-10 13:25:05 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-10 13:25:05 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-01-10 13:25:05 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-01-10 13:25:05 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-01-10 13:25:05 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2021-01-10 13:25:05 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-01-10 13:25:05 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-01-10 13:25:06 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-01-10 13:25:07 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-01-10 13:25:08 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-01-10 13:25:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62581ef6, org.springframework.security.web.context.SecurityContextPersistenceFilter@546c30c2, org.springframework.security.web.header.HeaderWriterFilter@6074d638, org.springframework.web.filter.CorsFilter@1e36baca, org.springframework.security.web.authentication.logout.LogoutFilter@24731caf, com.example.demo.security.JWTAuthenticationFilter@3dfa2f64, com.example.demo.security.JWTAuthenticationVerficationFilter@60484429, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@568c9ee1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@654c2f81, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@42c55978, org.springframework.security.web.session.SessionManagementFilter@14d53884, org.springframework.security.web.access.ExceptionTranslationFilter@7fc56d61, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@47374fa5]
2021-01-10 13:25:08 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-01-10 13:25:08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-01-10 13:25:08 [main] INFO  com.example.demo.SareetaApplication - Started SareetaApplication in 8.128 seconds (JVM running for 9.264)
2021-01-10 13:25:16 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-01-10 13:25:16 [http-nio-8080-exec-1] ERROR c.e.demo.controllers.UserController - [CREATE USER] [Fail]  user -> Kumar, REASON -> password mismatch
2021-01-10 13:25:22 [http-nio-8080-exec-3] INFO  c.e.demo.controllers.UserController - [CREATE USER] [Success] user -> Kumar
2021-01-10 14:03:26 [main] INFO  c.e.demo.SareetaApplicationTests - Starting SareetaApplicationTests on DESKTOP-HU7SCJV with PID 20424 (started by a4avi in D:\UdacityProjects\eCommerce-Application)
2021-01-10 14:03:26 [main] INFO  c.e.demo.SareetaApplicationTests - No active profile set, falling back to default profiles: default
2021-01-10 14:03:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-01-10 14:03:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 150ms. Found 4 repository interfaces.
2021-01-10 14:03:30 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e547fea3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-10 14:03:30 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-01-10 14:03:30 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-01-10 14:03:31 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-01-10 14:03:31 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2021-01-10 14:03:31 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-01-10 14:03:31 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-01-10 14:03:32 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-01-10 14:03:33 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-01-10 14:03:35 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-01-10 14:03:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f071d0c, org.springframework.security.web.context.SecurityContextPersistenceFilter@3c04ddda, org.springframework.security.web.header.HeaderWriterFilter@6b529d42, org.springframework.web.filter.CorsFilter@138d978e, org.springframework.security.web.authentication.logout.LogoutFilter@498f5728, com.example.demo.security.JWTAuthenticationFilter@357e7113, com.example.demo.security.JWTAuthenticationVerficationFilter@8d23cd8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f5bfbca, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@600e2000, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5feaafb3, org.springframework.security.web.session.SessionManagementFilter@790f4933, org.springframework.security.web.access.ExceptionTranslationFilter@5c8d631, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@76bdfc19]
2021-01-10 14:03:36 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-01-10 14:03:37 [main] INFO  c.e.demo.SareetaApplicationTests - Started SareetaApplicationTests in 11.65 seconds (JVM running for 15.291)
2021-01-10 14:03:37 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-10 14:03:37 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-01-10 14:03:37 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-01-10 14:03:37 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-01-10 14:25:51 [main] INFO  com.example.demo.SareetaApplication - Starting SareetaApplication on DESKTOP-HU7SCJV with PID 22184 (D:\UdacityProjects\eCommerce-Application\target\classes started by a4avi in D:\UdacityProjects\eCommerce-Application)
2021-01-10 14:25:51 [main] INFO  com.example.demo.SareetaApplication - No active profile set, falling back to default profiles: default
2021-01-10 14:25:52 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-01-10 14:25:53 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 101ms. Found 4 repository interfaces.
2021-01-10 14:25:53 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3221308] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-10 14:25:54 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-01-10 14:25:54 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-01-10 14:25:54 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2021-01-10 14:25:54 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-10 14:25:54 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-01-10 14:25:55 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-01-10 14:25:55 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-01-10 14:25:55 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2021-01-10 14:25:55 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-01-10 14:25:55 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-01-10 14:25:55 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-01-10 14:25:56 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-01-10 14:25:57 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-01-10 14:25:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4452e13c, org.springframework.security.web.context.SecurityContextPersistenceFilter@39f8adc0, org.springframework.security.web.header.HeaderWriterFilter@8f589d7, org.springframework.web.filter.CorsFilter@4d964c9e, org.springframework.security.web.authentication.logout.LogoutFilter@1ad9d5be, com.example.demo.security.JWTAuthenticationFilter@42172065, com.example.demo.security.JWTAuthenticationVerficationFilter@5b6f3d0b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c23e369, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a30b0cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8e77c5b, org.springframework.security.web.session.SessionManagementFilter@1a914a00, org.springframework.security.web.access.ExceptionTranslationFilter@4687366b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@71f10042]
2021-01-10 14:25:58 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-01-10 14:25:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-01-10 14:25:58 [main] INFO  com.example.demo.SareetaApplication - Started SareetaApplication in 7.832 seconds (JVM running for 8.74)
2021-01-10 14:27:23 [main] INFO  c.example.demo.EcommerceApplication - Starting EcommerceApplication on DESKTOP-HU7SCJV with PID 1192 (D:\UdacityProjects\eCommerce-Application\target\classes started by a4avi in D:\UdacityProjects\eCommerce-Application)
2021-01-10 14:27:23 [main] INFO  c.example.demo.EcommerceApplication - No active profile set, falling back to default profiles: default
2021-01-10 14:27:25 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-01-10 14:27:25 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67ms. Found 4 repository interfaces.
2021-01-10 14:27:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b59ce9a7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-10 14:27:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-01-10 14:27:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-01-10 14:27:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2021-01-10 14:27:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-10 14:27:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-01-10 14:27:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-01-10 14:27:26 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-01-10 14:27:27 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2021-01-10 14:27:27 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-01-10 14:27:27 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-01-10 14:27:27 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-01-10 14:27:28 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-01-10 14:27:28 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
